id;titlu;autor;gen;tip;numar_pagini_totale;status;imagine;procent;dataStart;dataFinish;scor;review
121;Little Women; Louisa May Alcott;;PAPERBACK;546;FINALIZATA;http://books.google.com/books/content?id=9Sjs_5m7vcsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2023-05-14;2023-05-21;5.0;from girls to women
122;Peril at End House;Agatha Cristine;;PAPERBACK;114;FINALIZATA;http://books.google.com/books/content?id=QdnUswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;1.0;2023-07-24;2023-07-24;4.5;crima
123;Girl in Pieces;Kathleen Glasgow;;PAPERBACK;418;FINALIZATA;http://books.google.com/books/content?id=5bRQCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2023-07-02;2023-07-02;5.0;sunicide, cutting
124;How to Make Friends With the Dark;Kathleen Glasgow;;PAPERBACK;450;FINALIZATA;http://books.google.com/books/content?id=nE5kDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2023-07-17;2023-07-18;4.0;lost her mom
125;You'd Be Home Now;Kathleen Glasgow;;PAPERBACK;401;FINALIZATA;http://books.google.com/books/content?id=aRkYEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;1.0;2023-07-18;2023-07-20;4.5;drugs
126;Printre tonuri cenusii;Ruta Sepetys;;PAPERBACK;320;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408124825i/22920772.jpg;1.0;2023-08-14;2023-08-17;4.5;lagara rusesti
127;Good Wives;Louisa May Alcott;;PAPERBACK;248;FINALIZATA;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1282713827i/78960.jpg;1.0;2023-08-02;2023-08-07;4.0;
128;Kill Joy;Holly Jackson;;PAPERBACK;121;FINALIZATA;http://books.google.com/books/content?id=TcBZ0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;1.0;2023-07-26;2023-07-26;4.0;
129;Twisted Love;Ana Huang;;PAPERBACK;352;FINALIZATA;http://books.google.com/books/content?id=Ip-aEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;1.0;2023-09-03;2023-09-03;5.0;smut
130;Twisted Games;Ana Huang;;PAPERBACK;0;FINALIZATA;;1.0;2023-09-03;2023-09-03;3.5;smut
